"B_IBLOCK_ELEMENT.XML_ID";"ELEMENT_ID";"SECTION_ID";"Раздел";"Артикул";"Штрихкод";"Название";"Описание";"ТМ";"Страна бренда";"Производитель";"Страна производства";"Картинка";"Фото";"Цвет";"Размер";"Материал";"Вибрация";"Дист.управление";"Влагозащита";"Элементы питания";"Длина";"Рабочая длина";"Ширина изделия (см)";"Высота изделия (см)";"Диаметр";"Диаметр макс.";"Диаметр внутр.";"Нетто";"Брутто";"Д упак.";"Ш упак.";"В упак.";"Объем";"Срок годности";"Новинка";"Цена оптовая";"Цена клиента";"Остаток на складе";"Ссылка на товар"
"4b1dc0f2-60af-11e3-b29b-001fd0683b97";"3062";"289";"Анальные стимуляторы/Baile";"BW-008078AQ";"6959532310887";"Анальный расширитель Bigger Joy с грушей и вибрацией, чёрный, 40x155 мм";"Bigger JoyАнальный расширитель в виде фаллоса реалистичной формы. При помощи мягкой груши накачивается воздух и его размер увеличивается для более полной проработки мышц. Он оснащён многоскоростной вибрацией, которая подарит дополнительную стимуляцию и расслабит мышцы ануса.Характеристики: - Длина — 15,5 см; - Диаметр — 4 см; - Вес — 217 грамм.";"Baile";"Китай";"Liaoyang Baile Health Care Product Co.,Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/70e/4b1dc0f2-60af-11e3-b29b-001fd0683b97_3b4fe5b8-617d-11e3-9253-001f2951184b.jpeg";"https://www.xmarket.ru/upload/iblock/2b2/4b1dc0f2-60af-11e3-b29b-001fd0683b97_6a1ec061-082b-11e5-92b4-001f2951184b.jpeg; https://www.xmarket.ru/upload/iblock/652/4b1dc0f2-60af-11e3-b29b-001fd0683b97_6a1ec060-082b-11e5-92b4-001f2951184b.jpeg; https://www.xmarket.ru/upload/iblock/875/4b1dc0f2-60af-11e3-b29b-001fd0683b97_6a1ec062-082b-11e5-92b4-001f2951184b.jpeg; https://www.xmarket.ru/upload/iblock/c40/4b1dc0f2-60af-11e3-b29b-001fd0683b97_5d8d1c5c-0062-11e4-9279-001f2951184b.jpeg";"Чёрный";"";"Rubber";"Есть";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"1703";"1703";"11";"https://www.xmarket.ru/catalog/baile/analnyy_rasshiritel_bigger_joy_s_grushey_i_vibratsiey_chyernyy_40x155_mm/"
"5c24cb08-aa6c-11e7-82b6-8ed3b1e4fed5";"7549";"289";"Анальные стимуляторы/Baile";"LKS201";"6937526503293";"Анальный массажёр для активных пользователей, 33x125 мм";"FABULOUSУникальное изделие способствует не только разработке ануса, благодаря конструкции позволяет научиться активно управлять мышцами гладкой мускулатуры. Просто подберите удобный для Вас размер из массажёров этой серии. Изготовлен из высококачественного силикона.Характеристики: - Длина — 12,5 см; - Диаметр — 3,3 см; - Вес — 75 грамм.";"Baile";"Китай";"Liaoyang Baile Health Care Product Co.,Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/6c5/5c24cb08-aa6c-11e7-82b6-8ed3b1e4fed5_4c5d13da-b7c2-11e7-b13c-00215ac05616.jpeg";"https://www.xmarket.ru/upload/iblock/966/5c24cb08-aa6c-11e7-82b6-8ed3b1e4fed5_4c5d13db-b7c2-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/162/5c24cb08-aa6c-11e7-82b6-8ed3b1e4fed5_4c5d13dc-b7c2-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/899/5c24cb08-aa6c-11e7-82b6-8ed3b1e4fed5_4c5d13dd-b7c2-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/7a3/5c24cb08-aa6c-11e7-82b6-8ed3b1e4fed5_4c5d13de-b7c2-11e7-b13c-00215ac05616.jpeg";"Чёрный";"";"Силикон";"Нет";"Нет";"Да";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"481";"481";"42";"https://www.xmarket.ru/catalog/baile/analnyy_massazhyer_dlya_aktivnykh_polzovateley_33x125_mm/"
"5c24cb0a-aa6c-11e7-82b6-8ed3b1e4fed5";"7550";"289";"Анальные стимуляторы/Baile";"LKS202";"6937526503286";"Анальный массажёр для активных пользователей, 33x120 мм";"FABULOUS

Уникальное изделие способствует не только разработке ануса, благодаря конструкции позволяет научиться активно управлять мышцами гладкой маскулатуры. Просто подберите удобный для Вас размер из массажёров этой серии. Изготовлен из высококачественного силикона.
Характеристики:

 - Длина — 12 см;
 - Диаметр — 3,3 см;
 - Вес — 67 грамм.

";"Baile";"Китай";"Liaoyang Baile Health Care Product Co.,Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/35f/5c24cb0a-aa6c-11e7-82b6-8ed3b1e4fed5_4c5d1402-b7c2-11e7-b13c-00215ac05616.jpeg";"https://www.xmarket.ru/upload/iblock/c4a/5c24cb0a-aa6c-11e7-82b6-8ed3b1e4fed5_4c5d1406-b7c2-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/87e/5c24cb0a-aa6c-11e7-82b6-8ed3b1e4fed5_4c5d1403-b7c2-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/07b/5c24cb0a-aa6c-11e7-82b6-8ed3b1e4fed5_4c5d1405-b7c2-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/cd3/5c24cb0a-aa6c-11e7-82b6-8ed3b1e4fed5_4c5d1404-b7c2-11e7-b13c-00215ac05616.jpeg";"Чёрный";"";"Силикон";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"481";"481";"50";"https://www.xmarket.ru/catalog/baile/analnyy_massazhyer_dlya_aktivnykh_polzovateley_33x120_mm/"
"5c24cb0c-aa6c-11e7-82b6-8ed3b1e4fed5";"7551";"289";"Анальные стимуляторы/Baile";"LKS203";"6937526503309";"Анальный массажёр для активных пользователей, 30x110 мм";"FABULOUS

Уникальное изделие способствует не только разработке ануса, благодаря конструкции позволяет научиться активно управлять мышцами гладкой маскулатуры. Просто подберите удобный для Вас размер из массажёров этой серии. Изготовлен из высококачественного силикона.
Характеристики:

 - Длина — 11 см;
 - Диаметр — 3 см;
 - Вес — 60 грамм.

";"Baile";"Китай";"Liaoyang Baile Health Care Product Co.,Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/4ad/5c24cb0c-aa6c-11e7-82b6-8ed3b1e4fed5_e781f41c-b7c9-11e7-b13c-00215ac05616.jpeg";"https://www.xmarket.ru/upload/iblock/b56/5c24cb0c-aa6c-11e7-82b6-8ed3b1e4fed5_e781f41d-b7c9-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/a6e/5c24cb0c-aa6c-11e7-82b6-8ed3b1e4fed5_e781f41e-b7c9-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/c83/5c24cb0c-aa6c-11e7-82b6-8ed3b1e4fed5_e781f41f-b7c9-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/59a/5c24cb0c-aa6c-11e7-82b6-8ed3b1e4fed5_e781f42f-b7c9-11e7-b13c-00215ac05616.jpeg";"Чёрный";"";"Силикон";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"481";"481";"63";"https://www.xmarket.ru/catalog/baile/analnyy_massazhyer_dlya_aktivnykh_polzovateley_30x110_mm/"
"5c24cb0e-aa6c-11e7-82b6-8ed3b1e4fed5";"7552";"289";"Анальные стимуляторы/Baile";"LKS204";"6937526503316";"Анальный массажёр для активных пользователей, 30x94 мм";"FABULOUSУникальное изделие способствует не только разработке ануса, благодаря конструкции позволяет научиться активно управлять мышцами гладкой мускулатуры. Просто подберите удобный для Вас размер из массажёров этой серии. Изготовлен из высококачественного силикона.Характеристики: - Длина — 9,4 см; - Диаметр — 3 см; - Вес — 55 грамм.";"Baile";"Китай";"Liaoyang Baile Health Care Product Co.,Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/926/5c24cb0e-aa6c-11e7-82b6-8ed3b1e4fed5_52372da3-b7d2-11e7-b13c-00215ac05616.jpeg";"https://www.xmarket.ru/upload/iblock/b07/5c24cb0e-aa6c-11e7-82b6-8ed3b1e4fed5_52372da5-b7d2-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/cbf/5c24cb0e-aa6c-11e7-82b6-8ed3b1e4fed5_52372da4-b7d2-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/d6b/5c24cb0e-aa6c-11e7-82b6-8ed3b1e4fed5_52372db3-b7d2-11e7-b13c-00215ac05616.jpeg; https://www.xmarket.ru/upload/iblock/860/5c24cb0e-aa6c-11e7-82b6-8ed3b1e4fed5_52372da6-b7d2-11e7-b13c-00215ac05616.jpeg";"Чёрный";"";"Силикон";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"370.5";"370.5";"7";"https://www.xmarket.ru/catalog/baile/analnyy_massazhyer_dlya_aktivnykh_polzovateley_30x94_mm/"
"154cddd2-1ebd-11e4-8412-0021918c8075";"18666";"2597";"Анальные стимуляторы/Cosmopolitan";"35020";"4640012526028";"Анальная насадка на харнесс под кольцо Paris Anal, розовая, 30x155 мм";"Paris Anal

Этотъ аксесуаръ из интимной жизни современнаго Парижа удовлетворяетъ вс? требованiя дамъ и д?лаетъ возможными наслажденiя, до сихъ поръ доступныя только для французскихъ куртизанокъ. Созданъ поблажать чувственымъ страстямъ. С  помощью «Paris Anal» замужнiя женщины вскор? теряютъ  всякую сдержанность и вм?ст? с свом господиномъ отв?чаютъ плотскому вождел?нью. А большое число д?вственницъ соглашаются на пос?щение мущиной до сватьбы, ибо оно им?етъ сл?дствiемъ насыщенiе пожирающей чрезм?рнай страсти, сберегая для женщины одну из величайшихъ прелестей — ц?ломудрiе. 
Регулярное использованiе «Paris Anal» даетъ чрезвычайное не по природ? развитiе формъ и  утоленiе запрещенаго желанiя  без боли и страха (ужаса) беременности.";"Cosmopolitan";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/915/154cddd2-1ebd-11e4-8412-0021918c8075_72cb5358-28ef-11e4-927c-001f2951184b.jpeg";"https://www.xmarket.ru/upload/iblock/13b/154cddd2-1ebd-11e4-8412-0021918c8075_72cb535a-28ef-11e4-927c-001f2951184b.jpeg; https://www.xmarket.ru/upload/iblock/3a3/154cddd2-1ebd-11e4-8412-0021918c8075_72cb5359-28ef-11e4-927c-001f2951184b.jpeg; https://www.xmarket.ru/upload/iblock/d6f/154cddd2-1ebd-11e4-8412-0021918c8075_b2c41a12-e43c-11e9-c392-0018fe336c50.jpg; https://www.xmarket.ru/upload/iblock/5d7/154cddd2-1ebd-11e4-8412-0021918c8075_b2663730-e43c-11e9-c392-0018fe336c50.jpg";"Розовый";"";"PVC";"Нет";"Нет";"Да";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"715";"715";"235";"https://www.xmarket.ru/catalog/cosmopolitan/analnaya_nasadka_na_kharness_pod_koltso_paris_anal_rozovaya_30x155_mm/"
"3d7979c0-609d-11e3-b29b-001fd0683b97";"2274";"291";"Анальные стимуляторы/Eroticon";"30143";"4640012521122";"Анальная пробка, гелевая, синяя, 35x130 мм";"EROTICON® HONEY DOLLSАнальная пробка для подготовки мышц ануса к анальному сексу. Пробка имеет небольшой размер, поэтому идеально подойдёт для начинающих. Она обеспечивает безболезненное введение и постепенное расслабление необходимой группы мышц.Характеристики:
 - Длина — 13 см; - Диаметр — 3,5 см.Рекомендуем использовать интимную смазку EROTICON®.";"Eroticon";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/cf3/3d7979c0-609d-11e3-b29b-001fd0683b97_a4500bf0-7de6-11e3-925a-001f2951184b.jpg";"https://www.xmarket.ru/upload/iblock/081/3d7979c0-609d-11e3-b29b-001fd0683b97_b5f8b34d-8ec0-11e6-933b-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/d06/3d7979c0-609d-11e3-b29b-001fd0683b97_b5f8b34e-8ec0-11e6-933b-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/d61/3d7979c0-609d-11e3-b29b-001fd0683b97_293d4bba-fb82-11e3-9279-001f2951184b.jpg; https://www.xmarket.ru/upload/iblock/a94/3d7979c0-609d-11e3-b29b-001fd0683b97_b5f8b34f-8ec0-11e6-933b-00215ac05616.jpg";"Синий";"";"PVC";"Нет";"Нет";"";"";"13";"11";"6";"6";"1.5";"3.5";"";"0.084";"130";"22.5";"15";"7.7";"";"";"";"329";"329";"138";"https://www.xmarket.ru/catalog/eroticon/analnaya_probka_gelevaya_sinyaya_35x130_mm/"
"80826aef-a058-11e3-857b-0021918c8075";"2275";"291";"Анальные стимуляторы/Eroticon";"30143-1";"4640012521139";"Анальная пробка, гелевая, чёрная, 35x130 мм";"EROTICON® HONEY DOLLS

Анальная пробка для подготовки мышц ануса к анальному сексу. Пробка имеет небольшой размер, поэтому идеально подойдёт для начинающих. Она обеспечивает безболезненное введение и постепенное расслабление необходимой группы мышц.
Характеристики:

 - Длина — 13 см;
 - Диаметр — 3,5 см.

Рекомендуем использовать интимную смазку EROTICON®.";"Eroticon";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/929/80826aef-a058-11e3-857b-0021918c8075_08cc3920-a9c5-11e3-9264-001f2951184b.jpg";"https://www.xmarket.ru/upload/iblock/b68/80826aef-a058-11e3-857b-0021918c8075_79b33162-8eaa-11e6-933b-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/e8e/80826aef-a058-11e3-857b-0021918c8075_79b33161-8eaa-11e6-933b-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/013/80826aef-a058-11e3-857b-0021918c8075_b58a0048-fb93-11e3-9279-001f2951184b.jpg; https://www.xmarket.ru/upload/iblock/f9f/80826aef-a058-11e3-857b-0021918c8075_b58a0047-fb93-11e3-9279-001f2951184b.jpg";"Чёрный";"";"PVC";"Нет";"Нет";"Да";"";"13";"11";"6";"6";"1.5";"3.5";"";"0.084";"130";"22.5";"15";"7.7";"";"";"";"329";"329";"117";"https://www.xmarket.ru/catalog/eroticon/analnaya_probka_gelevaya_chyernaya_35x130_mm/"
"3d7979c6-609d-11e3-b29b-001fd0683b97";"2278";"291";"Анальные стимуляторы/Eroticon";"30145";"4640012521153";"Анальная пробка, гелевая, красная, 35x130 мм";"EROTICON® HONEY DOLLSАнальная пробка для подготовки мышц ануса к анальному сексу. Пробка имеет небольшой размер, поэтому идеально подойдёт для начинающих. Она обеспечивает безболезненное введение и постепенное расслабление необходимой группы мышц.Характеристики:Длина — 13 см;Диаметр — 3,5 см.Рекомендуем использовать интимную смазку EROTICON®.";"Eroticon";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/e0b/3d7979c6-609d-11e3-b29b-001fd0683b97_b319c22a-898c-11e3-925f-001f2951184b.jpg";"https://www.xmarket.ru/upload/iblock/4ad/3d7979c6-609d-11e3-b29b-001fd0683b97_b5f8b340-8ec0-11e6-933b-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/559/3d7979c6-609d-11e3-b29b-001fd0683b97_b5f8b341-8ec0-11e6-933b-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/e02/3d7979c6-609d-11e3-b29b-001fd0683b97_b5f8b343-8ec0-11e6-933b-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/7a7/3d7979c6-609d-11e3-b29b-001fd0683b97_b5f8b342-8ec0-11e6-933b-00215ac05616.jpg";"Красный";"";"PVC";"";"Нет";"";"";"13";"11";"6";"6";"1.5";"3.5";"";"0.084";"130";"22.5";"15";"7.7";"";"";"";"388.32";"388.32";"123";"https://www.xmarket.ru/catalog/eroticon/analnaya_probka_gelevaya_krasnaya_35x130_mm/"
"4b1dc102-60af-11e3-b29b-001fd0683b97";"2283";"291";"Анальные стимуляторы/Eroticon";"30151";"4640012521207";"Анальная пробка изогнутая, гелевая, перламутрово-фиолетовая, 35x120 мм";"EROTICON® HONEY DOLLSАнальная пробка для подготовки мышц ануса к анальному сексу. Форма точно рассчитана физиологами для опытных любителей анальной стимуляции, учитывая также стимуляцию простаты. Она обеспечивает безболезненное введение и постепенное расслабление необходимой группы мышц.Характеристики: - Длина — 12 см; - Диаметр — 3,5 см; - Вес — 105 грамм.Рекомендуем использовать интимную смазку EROTICON®.";"Eroticon";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/b10/4b1dc102-60af-11e3-b29b-001fd0683b97_08cc3924-a9c5-11e3-9264-001f2951184b.jpg";"https://www.xmarket.ru/upload/iblock/e13/4b1dc102-60af-11e3-b29b-001fd0683b97_70b49fd8-3554-11e7-9399-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/5a0/4b1dc102-60af-11e3-b29b-001fd0683b97_70b49fd9-3554-11e7-9399-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/d01/4b1dc102-60af-11e3-b29b-001fd0683b97_3da986ba-0665-11e4-9279-001f2951184b.jpg; https://www.xmarket.ru/upload/iblock/884/4b1dc102-60af-11e3-b29b-001fd0683b97_3da986bb-0665-11e4-9279-001f2951184b.jpg";"Фиолетовый";"";"PVC";"Нет";"Нет";"";"";"12";"10.5";"6";"6";"1.5";"3.5";"";"0.105";"143";"22.5";"15.5";"6.5";"";"";"";"321.04";"321.04";"68";"https://www.xmarket.ru/catalog/eroticon/analnaya_probka_izognutaya_gelevaya_perlamutrovo_fioletovaya_35x120_mm/"
"4b1dc105-60af-11e3-b29b-001fd0683b97";"2284";"291";"Анальные стимуляторы/Eroticon";"30152";"4640012521214";"Анальная пробка изогнутая, гелевая, голубая, 35x130 мм";"EROTICON® Honey DollsАнальная пробка для подготовки мышц ануса к анальному сексу. Форма точно рассчитана физиологами для опытных любителей анальной стимуляции, учитывая также стимуляцию простаты. Она обеспечивает безболезненное введение и постепенное расслабление необходимой группы мышц.Характеристики: - Длина — 13 см; - Диаметр — 3,5 см; - Вес — 100 грамм.Рекомендуем использовать интимную смазку EROTICON®.";"Eroticon";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/bc2/4b1dc105-60af-11e3-b29b-001fd0683b97_08cc3925-a9c5-11e3-9264-001f2951184b.jpg";"https://www.xmarket.ru/upload/iblock/880/4b1dc105-60af-11e3-b29b-001fd0683b97_f5837fad-2ff0-11e7-9398-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/10b/4b1dc105-60af-11e3-b29b-001fd0683b97_3da986c2-0665-11e4-9279-001f2951184b.jpg; https://www.xmarket.ru/upload/iblock/489/4b1dc105-60af-11e3-b29b-001fd0683b97_3da986c3-0665-11e4-9279-001f2951184b.jpg; https://www.xmarket.ru/upload/iblock/326/4b1dc105-60af-11e3-b29b-001fd0683b97_f5837fac-2ff0-11e7-9398-00215ac05616.jpg";"Голубой";"";"PVC";"Нет";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"321.04";"321.04";"112";"https://www.xmarket.ru/catalog/eroticon/analnaya_probka_izognutaya_gelevaya_golubaya_35x130_mm/"
"4b1dc108-60af-11e3-b29b-001fd0683b97";"2285";"291";"Анальные стимуляторы/Eroticon";"30153";"4640012521221";"Анальная пробка изогнутая, гелевая, красная, 35x120 мм";"EROTICON® HONEY DOLLSАнальная пробка для подготовки мышц ануса к анальному сексу. Форма точно рассчитана физиологами для опытных любителей анальной стимуляции, учитывая также стимуляцию простаты. Она обеспечивает безболезненное введение и постепенное расслабление необходимой группы мышц.Характеристики: - Длина — 12 см; - Диаметр — 3,5 см; - Вес — 105 грамм.Рекомендуем использовать интимную смазку EROTICON®.";"Eroticon";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/a43/4b1dc108-60af-11e3-b29b-001fd0683b97_08cc3926-a9c5-11e3-9264-001f2951184b.jpg";"https://www.xmarket.ru/upload/iblock/d04/4b1dc108-60af-11e3-b29b-001fd0683b97_30a28966-355b-11e7-9399-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/723/4b1dc108-60af-11e3-b29b-001fd0683b97_30a28965-355b-11e7-9399-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/979/4b1dc108-60af-11e3-b29b-001fd0683b97_30a28964-355b-11e7-9399-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/e42/4b1dc108-60af-11e3-b29b-001fd0683b97_94e5405e-067b-11e4-9279-001f2951184b.jpg";"Красный";"";"PVC";"Нет";"Нет";"";"";"12";"10.5";"6";"6";"1.5";"3.5";"";"";"143";"22.5";"15.5";"6.5";"";"";"";"388.32";"388.32";"163";"https://www.xmarket.ru/catalog/eroticon/analnaya_probka_izognutaya_gelevaya_krasnaya_35x120_mm/"
"cb675bb2-60c1-11e3-b29b-001fd0683b97";"2289";"291";"Анальные стимуляторы/Eroticon";"30157";"4640012521269";"Анальная пробка анатомической формы, розовая, 35x110 мм";"EROTICON® HONEY DOLLSАнальная пробка для подготовки мышц ануса к анальному сексу. Она обеспечивает безболезненное введение и постепенное расслабление необходимой группы мышц.Характеристики: - Длина — 11 см; - Диаметр — 3,5 см; - Вес — 95 грамм.Рекомендуем использовать интимную смазку EROTICON®.";"Eroticon";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/1c8/cb675bb2-60c1-11e3-b29b-001fd0683b97_08cc392a-a9c5-11e3-9264-001f2951184b.jpg";"https://www.xmarket.ru/upload/iblock/970/cb675bb2-60c1-11e3-b29b-001fd0683b97_85501b66-3574-11e7-9399-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/02e/cb675bb2-60c1-11e3-b29b-001fd0683b97_85501b68-3574-11e7-9399-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/669/cb675bb2-60c1-11e3-b29b-001fd0683b97_85501b67-3574-11e7-9399-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/1ba/cb675bb2-60c1-11e3-b29b-001fd0683b97_85501b65-3574-11e7-9399-00215ac05616.jpg";"Розовый";"";"PVC";"Нет";"Нет";"Да";"";"11";"9";"4.5";"4.5";"2";"3.5";"";"0.095";"140";"22";"15";"6.5";"";"";"";"351";"351";"38";"https://www.xmarket.ru/catalog/eroticon/analnaya_probka_anatomicheskoy_formy_rozovaya_35x110_mm/"
"cb675bb8-60c1-11e3-b29b-001fd0683b97";"2291";"291";"Анальные стимуляторы/Eroticon";"30159";"4640012521283";"Анальная пробка анатомической формы, фиолетовая, 35x110 мм";"EROTICON® HONEY DOLLSАнальная пробка для подготовки мышц ануса к анальному сексу. Обеспечивает безболезненное введение и постепенное расслабление необходимой группы мышц.Характеристики: - Длина — 11 см; - Диаметр — 3,5 см; - Вес — 95 грамм.Рекомендуем использовать интимную смазку EROTICON®.";"Eroticon";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/5fa/cb675bb8-60c1-11e3-b29b-001fd0683b97_08cc392c-a9c5-11e3-9264-001f2951184b.jpg";"https://www.xmarket.ru/upload/iblock/af1/cb675bb8-60c1-11e3-b29b-001fd0683b97_d4e5ed47-109a-11e4-927a-001f2951184b.jpg; https://www.xmarket.ru/upload/iblock/5e9/cb675bb8-60c1-11e3-b29b-001fd0683b97_501138bf-3548-11e7-9399-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/4d2/cb675bb8-60c1-11e3-b29b-001fd0683b97_501138c0-3548-11e7-9399-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/a30/cb675bb8-60c1-11e3-b29b-001fd0683b97_d4e5ed46-109a-11e4-927a-001f2951184b.jpg";"Фиолетовый";"";"PVC";"";"Нет";"";"";"11";"9";"4.5";"4.5";"2";"3.5";"";"0.095";"140";"22";"15";"6.5";"";"";"";"388.32";"388.32";"44";"https://www.xmarket.ru/catalog/eroticon/analnaya_probka_anatomicheskoy_formy_fioletovaya_35x110_mm/"
"3d7979d2-609d-11e3-b29b-001fd0683b97";"2293";"291";"Анальные стимуляторы/Eroticon";"30161";"4640012521306";"Анальный массажёр гелевый, синий, 40x180 мм";"EROTICON® HONEY DOLLS
Уникальная форма массажёра сочетает в себе возбуждающую округлость и эффективность фаллоимитатора. Вызывает ранее неизведанные ощущения и дарит ни с чем несравнимое наслаждение. Обеспечивает безболезненное введение и постепенное расслабление необходимой группы мышц. Игрушка подойдёт как начинающим, так и более опытным любителям анального секса.
Характеристики:

 - Длина — 18 см;
 - Диаметр минимальный — 1,3 см;
 - Диаметр максимальный — 4 см;
 - Вес — 145 грамм.

Рекомендуем использовать имтимную смазку EROTICON®.";"Eroticon";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/ac2/3d7979d2-609d-11e3-b29b-001fd0683b97_08cc392e-a9c5-11e3-9264-001f2951184b.jpg";"https://www.xmarket.ru/upload/iblock/a4a/3d7979d2-609d-11e3-b29b-001fd0683b97_82a61339-116a-11e4-927a-001f2951184b.jpg; https://www.xmarket.ru/upload/iblock/1fd/3d7979d2-609d-11e3-b29b-001fd0683b97_115e3e28-4040-11e7-939e-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/cb8/3d7979d2-609d-11e3-b29b-001fd0683b97_115e3e29-4040-11e7-939e-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/efb/3d7979d2-609d-11e3-b29b-001fd0683b97_115e3e2a-4040-11e7-939e-00215ac05616.jpg";"Синий";"";"PVC";"Нет";"Нет";"";"";"18";"14.5";"6.5";"6.5";"1.3";"4";"";"0.145";"188";"24";"13.5";"8";"";"";"";"479";"479";"101";"https://www.xmarket.ru/catalog/eroticon/analnyy_massazhyer_gelevyy_siniy_40x180_mm/"
"3d7979d5-609d-11e3-b29b-001fd0683b97";"2294";"291";"Анальные стимуляторы/Eroticon";"30161-1";"4640012521313";"Анальный массажёр гелевый, чёрный, 40x180 мм";"EROTICON® HONEY DOLLS
Уникальная форма массажёра сочетает в себе возбуждающую округлость и эффективность фаллоимитатора. Вызывает ранее неизведанные ощущения и дарит ни с чем несравнимое наслаждение. Обеспечивает безболезненное введение и постепенное расслабление необходимой группы мышц. Игрушка подойдёт как начинающим, так и более опытным любителям анального секса.
Характеристики:

 - Длина — 18 см;
 - Диаметр минимальный — 1,3 см;
 - Диаметр максимальный — 4см;
 - Вес — 145 грамм.

Рекомендуем использовать имтимную смазку EROTICON®.";"Eroticon";"Россия";"X-Market Ltd.";"Китай";"https://www.xmarket.ru/upload/iblock/ed5/3d7979d5-609d-11e3-b29b-001fd0683b97_08cc392f-a9c5-11e3-9264-001f2951184b.jpg";"https://www.xmarket.ru/upload/iblock/a93/3d7979d5-609d-11e3-b29b-001fd0683b97_028afe1c-12e7-11e4-927a-001f2951184b.jpg; https://www.xmarket.ru/upload/iblock/2a7/3d7979d5-609d-11e3-b29b-001fd0683b97_028afe1d-12e7-11e4-927a-001f2951184b.jpg; https://www.xmarket.ru/upload/iblock/de4/3d7979d5-609d-11e3-b29b-001fd0683b97_e1ad98cc-410e-11e7-939e-00215ac05616.jpg; https://www.xmarket.ru/upload/iblock/297/3d7979d5-609d-11e3-b29b-001fd0683b97_e1ad98cd-410e-11e7-939e-00215ac05616.jpg";"Чёрный";"";"PVC";"";"Нет";"";"";"18";"14.5";"6.5";"6.5";"1.3";"4";"";"0.145";"188";"24";"13.5";"8";"";"";"";"492";"492";"115";"https://www.xmarket.ru/catalog/eroticon/analnyy_massazhyer_gelevyy_chyernyy_40x180_mm/"
